Customer id,Gender,Age,Payment method
C01000,F,37,Mobile Payment
C01001,M,42,Cash
C01002,F,60,Credit Card
C01003,M,67,Credit Card
C01004,F,24,Credit Card
C01005,F,31,Credit Card
C01006,M,63,Mobile Payment
C01007,M,41,Mobile Payment
C01008,F,46,Credit Card
C01009,M,40,Cash
C01010,M,50,Cash
C01011,M,43,Mobile Payment
C01012,F,67,Cash
C01013,F,21,Cash
C01014,F,61,Cash
C01015,F,49,Mobile Payment
C01016,F,32,Cash
C01017,M,29,Cash
C01018,M,56,Credit Card
C01019,F,67,Credit Card
C01020,F,67,Cash
C01021,F,59,Mobile Payment
C01022,F,47,Credit Card
C01023,M,27,Cash
C01024,M,38,Credit Card
C01025,M,47,Mobile Payment
C01026,M,51,Cash
C01027,M,54,Mobile Payment
C01028,M,41,Credit Card
C01029,M,62,Cash
C01030,F,40,Credit Card
C01031,M,45,Credit Card
C01032,M,23,Mobile Payment
C01033,M,37,Mobile Payment
C01034,M,22,Mobile Payment
C01035,F,37,Cash
C01036,F,39,Mobile Payment
C01037,F,49,Mobile Payment
C01038,F,61,Cash
C01039,M,64,Cash
C01040,M,48,Cash
C01041,F,44,Mobile Payment
C01042,M,57,Credit Card
C01043,M,47,Mobile Payment
C01044,F,54,Mobile Payment
C01045,F,53,Mobile Payment
C01046,M,58,Credit Card
C01047,F,39,Credit Card
C01048,M,45,Mobile Payment
C01049,F,41,Credit Card
C01050,M,29,Credit Card
C01051,M,35,Cash
C01052,F,67,Credit Card
C01053,F,30,Mobile Payment
C01054,F,55,Cash
C01055,M,36,Credit Card
C01056,F,38,Credit Card
C01057,F,66,Cash
C01058,F,63,Mobile Payment
C01059,F,21,Mobile Payment
C01060,M,25,Mobile Payment
C01061,F,28,Cash
C01062,M,49,Mobile Payment
C01063,F,29,Mobile Payment
C01064,M,28,Credit Card
C01065,M,47,Cash
C01066,M,56,Cash
C01067,F,44,Mobile Payment
C01068,M,36,Mobile Payment
C01069,F,27,Mobile Payment
C01070,M,59,Mobile Payment
C01071,M,64,Mobile Payment
C01072,M,22,Credit Card
C01073,M,24,Credit Card
C01074,F,20,Credit Card
C01075,M,52,Cash
C01076,F,65,Mobile Payment
C01077,M,26,Credit Card
C01078,M,42,Mobile Payment
C01079,F,55,Mobile Payment
C01080,M,42,Mobile Payment
C01081,F,38,Mobile Payment
C01082,M,62,Cash
C01083,M,38,Credit Card
C01084,F,56,Mobile Payment
C01085,M,49,Credit Card
C01086,F,35,Cash
C01087,M,66,Cash
C01088,F,20,Cash
C01089,M,29,Cash
C01090,F,57,Cash
C01091,M,50,Mobile Payment
C01092,M,20,Mobile Payment
C01093,F,54,Mobile Payment
C01094,M,65,Credit Card
C01095,M,39,Cash
C01096,F,32,Credit Card
C01097,F,62,Mobile Payment
C01098,F,47,Credit Card
C01099,M,24,Mobile Payment
C01100,F,42,Credit Card
C01101,M,62,Credit Card
C01102,F,37,Credit Card
C01103,F,37,Mobile Payment
C01104,M,39,Mobile Payment
C01105,M,37,Mobile Payment
C01106,F,53,Credit Card
C01107,F,27,Mobile Payment
C01108,M,56,Credit Card
C01109,F,35,Cash
C01110,M,50,Credit Card
C01111,M,34,Mobile Payment
C01112,F,63,Credit Card
C01113,F,31,Cash
C01114,F,39,Mobile Payment
C01115,M,59,Cash
C01116,M,37,Cash
C01117,F,34,Cash
C01118,M,20,Credit Card
C01119,F,26,Cash
C01120,M,40,Credit Card
C01121,F,61,Credit Card
C01122,F,33,Credit Card
C01123,F,31,Mobile Payment
C01124,F,48,Cash
C01125,F,42,Cash
C01126,M,24,Credit Card
C01127,F,46,Mobile Payment
C01128,M,60,Cash
C01129,M,65,Mobile Payment
C01130,F,28,Cash
C01131,M,22,Mobile Payment
C01132,F,41,Credit Card
C01133,F,36,Mobile Payment
C01134,F,22,Credit Card
C01135,F,40,Mobile Payment
C01136,F,35,Mobile Payment
C01137,F,51,Cash
